```bash
$ ./mem_v2 $((1024*7))
Allocating 7516192768 bytes (7168.00 MiB)
        number of integers in array: 1879048192
Loops: 1        | Window:    1 loops at 12853.68 ms/lp | Bandwidth:   557.66 MiB/s
Loops: 2        | Window:    1 loops at 1650.81 ms/lp | Bandwidth:  4342.11 MiB/s
Loops: 3        | Window:    1 loops at 1419.06 ms/lp | Bandwidth:  5051.23 MiB/s
Loops: 4        | Window:    1 loops at 1410.07 ms/lp | Bandwidth:  5083.42 MiB/s
Loops: 5        | Window:    1 loops at 1400.77 ms/lp | Bandwidth:  5117.17 MiB/s
Loops: 6        | Window:    1 loops at 1422.19 ms/lp | Bandwidth:  5040.12 MiB/s
Loops: 7        | Window:    1 loops at 1397.34 ms/lp | Bandwidth:  5129.76 MiB/s
Loops: 8        | Window:    1 loops at 1405.29 ms/lp | Bandwidth:  5100.73 MiB/s
Loops: 9        | Window:    1 loops at 1418.34 ms/lp | Bandwidth:  5053.81 MiB/s
Loops: 10       | Window:    1 loops at 1399.55 ms/lp | Bandwidth:  5121.66 MiB/s
Loops: 11       | Window:    1 loops at 1404.83 ms/lp | Bandwidth:  5102.41 MiB/s
Loops: 12       | Window:    1 loops at 1398.10 ms/lp | Bandwidth:  5126.97 MiB/s
Loops: 13       | Window:    1 loops at 1404.23 ms/lp | Bandwidth:  5104.57 MiB/s
Loops: 14       | Window:    1 loops at 1467.48 ms/lp | Bandwidth:  4884.57 MiB/s
Loops: 15       | Window:    1 loops at 1407.10 ms/lp | Bandwidth:  5094.18 MiB/s
^C
```

```bash
$ vmstat -w 1
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
   0    0       272564      7305016         9232       230032 11571 12099 12022 12113 1531    3   2   4  89   5   0   0
   0    0       272564      7305016         9232       230032    0    0     0     0  359  293   0   1  99   0   0   0
   0    0       272564      7304008         9232       230032    0    0     0     0  264  233   0   1  99   0   0   0
   0    0       272564      7302748         9232       230032    0    0     0     0  235  218   0   1 100   0   0   0
   0    0       272564      7301740         9232       230032    0    0     0     0  231  196   0   0 100   0   0   0
   0    0       272564      7300732         9232       230032    0    0     0     0  222  199   0   1  99   0   0   0
   0    0       272564      7306376         9232       230032    0    0     0     0  335  297   0   1  99   0   0   0
   0    0       272564      7312584         9232       230032    0    0     0     0  237  216   0   0 100   0   0   0
   1    0       272564      6824160         9232       230032    0    0     0     0 1111  724   5  15  81   0   0   0
   1    0       272308      6183324         9232       230040   80    0    80   492 1187  578   6  21  73   0   0   0
   1    0       272308      5539212         9232       230040    0    0     0     0  940  218   6  20  74   0   0   0
   1    0       272308      4890844         9232       230040   12    0    12     0 1140  433   6  21  73   0   0   0
   1    0       272308      4245220         9232       230040    0    0     0   112  967  246   6  20  75   0   0   0
   1    0       272308      3592832         9232       230040    0    0     0     0  944  208   7  18  74   0   0   0
   1    0       272308      3002396         9240       230032    0    0     0    28 1042  269   4  22  74   0   0   0
   1    0       272308      2435396         9240       230044    0    0     0     0  980  277   6  20  74   0   0   0
   1    0       272308      1863888         9240       230044    0    0     0     0 1065  309   6  21  74   0   0   0
   1    0       272308      1337208         9240       230044    0    0     0     0  892  203   5  21  74   0   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- ----------cpu----------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st  gu
